wavelength_nm,FF495-Di03_AOI_47_CHA_0_Pol_A
392.2,0.0018676073
392.4,0.0020255574
392.6,0.0021506843
392.8,0.0022274923
393.0,0.002248624
393.2,0.0022174736
393.4,0.0021461763
393.6,0.0020506675
393.8,0.0019459779
394.0,0.0018436583
394.2,0.0017513094
394.4,0.0016732894
394.6,0.0016117577
394.8,0.0015676078
395.0,0.0015411554
395.2,0.0015326001
395.4,0.0015423235
395.6,0.0015710884
395.8,0.0016201837
396.0,0.0016915477
396.2,0.0017878846
396.4,0.0019127779
396.6,0.0020707829
396.8,0.0022674598
397.0,0.0025092647
397.2,0.0028031713
397.4,0.0031558264
397.6,0.0035719425
397.8,0.004051519
398.0,0.0045856647
398.2,0.0051517804
398.4,0.0057106324
398.6,0.0062092978
398.8,0.0065927813
399.0,0.0068215452
399.2,0.0068856212
399.4,0.0068062686
399.6,0.0066250771
399.8,0.006388773
400.0,0.0061379529
400.2,0.0059024557
400.4,0.0057016861
400.6,0.0055471592
400.8,0.0054453736
401.0,0.0054001925
401.2,0.0054145735
401.4,0.0054917641
401.6,0.005636145
401.8,0.0058538799
402.0,0.0061534881
402.2,0.0065464198
402.4,0.0070476718
402.6,0.0076764412
402.8,0.0084567485
403.0,0.0094178638
403.2,0.010594214
403.4,0.012024186
403.6,0.013746744
403.8,0.015793975
404.0,0.018177215
404.2,0.020865519
404.4,0.023759314
404.6,0.026670065
404.8,0.029326127
405.0,0.031423917
405.2,0.03271865
405.4,0.033110169
405.6,0.032669298
405.8,0.031591545
406.0,0.030116408
406.2,0.028460447
406.4,0.026785226
406.6,0.025194363
406.8,0.023745059
407.0,0.022462814
407.2,0.021353957
407.4,0.020414589
407.6,0.019636344
407.8,0.01900983
408.0,0.018526559
408.2,0.018179945
408.4,0.017965768
408.6,0.017882316
408.8,0.01793032
409.0,0.018112709
409.2,0.01843412
409.4,0.01890004
409.6,0.0195154
409.8,0.020282365
410.0,0.021196889
410.2,0.022243303
410.4,0.023386275
410.6,0.024560731
410.8,0.025662766
411.0,0.026547952
411.2,0.027046011
411.4,0.026998083
411.6,0.026309713
411.8,0.024994333
412.0,0.023177689
412.2,0.021056621
412.4,0.018837237
412.6,0.016686182
412.8,0.014710919
413.0,0.012963974
413.2,0.011458096
413.4,0.010182212
413.6,0.0091136571
413.8,0.0082260049
414.0,0.0074934236
414.2,0.0068927531
414.4,0.0064042592
414.6,0.0060116983
414.8,0.0057020722
415.0,0.0054652803
415.2,0.0052937757
415.4,0.0051822773
415.6,0.0051275534
415.8,0.0051282788
416.0,0.0051849439
416.2,0.0052997607
416.4,0.0054764454
416.6,0.0057196579
416.8,0.0060338494
417.0,0.0064216563
417.2,0.0068830348
417.4,0.0074167275
417.6,0.0080226319
417.8,0.0087000201
418.0,0.0094396869
418.2,0.010214022
418.4,0.010969866
418.6,0.011628229
418.8,0.012095494
419.0,0.012287857
419.2,0.012161334
419.4,0.011730471
419.6,0.011062673
419.8,0.01025212
420.0,0.0093903301
420.2,0.0085475828
420.4,0.0077680278
420.6,0.007073591
420.8,0.0064708567
421.0,0.0059574193
421.2,0.0055264874
421.4,0.0051697671
421.6,0.0048790666
421.8,0.0046470863
422.0,0.0044677424
422.2,0.0043362525
422.4,0.0042491204
422.6,0.0042040949
422.8,0.0042001425
423.0,0.0042374554
423.2,0.0043175068
423.4,0.0044431583
423.6,0.0046188196
423.8,0.0048506387
424.0,0.0051466497
424.2,0.0055166963
424.4,0.005971754
424.6,0.0065221942
424.8,0.0071754366
425.0,0.007936673
425.2,0.0088183918
425.4,0.0098533978
425.6,0.01109225
425.8,0.012583739
426.0,0.014356157
426.2,0.016402597
426.4,0.018662452
426.6,0.021000021
426.8,0.023195627
427.0,0.024973251
427.2,0.02607646
427.4,0.026364507
427.6,0.025866826
427.8,0.02475692
428.0,0.023270895
428.2,0.021628582
428.4,0.019992174
428.6,0.018460753
428.8,0.017083316
429.0,0.015875752
429.2,0.014834896
429.4,0.013948107
429.6,0.013199067
429.8,0.012570975
430.0,0.012048148
430.2,0.011616716
430.4,0.011264839
430.6,0.010982699
430.8,0.010762406
431.0,0.010597874
431.2,0.010484734
431.4,0.010420277
431.6,0.010403449
431.8,0.010434912
432.0,0.010517166
432.2,0.010654697
432.4,0.010854028
432.6,0.011123167
